biomarker;correlation_type;neurotransmitter;receptor;region_type;n;rho;pvalue;p_spin;pvalue_fdr;sig_fdr
t1t2;delta_declining;ach;M1;subcortical;19;-0,3561;0,134505742;;0,184883981;FALSE
t1t2;delta_declining;ach;A4B2;subcortical;19;0,214;0,378924173;;0,466368213;FALSE
t1t2;delta_declining;gaba;GABAa-bz;cortical;62;0,2156;0,092412961;0,358641359;0,637584638;FALSE
t1t2;delta_declining;gaba;GABAa;cortical;62;0,0122;0,925248178;0,945054945;0,945054945;FALSE
t1t2;delta_declining;gaba;GABAa-bz;subcortical;19;0,0263;0,914837897;;0,914837897;FALSE
t1t2;delta_declining;gaba;GABAa;subcortical;19;0,1053;0,66801288;;0,712547072;FALSE
t1t2;delta_declining;serotonin;5HT1a;cortical;62;-0,5913;4,19E-07;0,007992008;0,127872128;FALSE
t1t2;delta_declining;serotonin;5HT1b;cortical;62;0,4583;0,000179892;0,050949051;0,211788212;FALSE
t1t2;delta_declining;serotonin;5HT2a;cortical;62;-0,0351;0,786644769;0,852147852;0,945054945;FALSE
t1t2;delta_declining;serotonin;5HT4;cortical;62;-0,2857;0,024393457;0,156843157;0,358498644;FALSE
t1t2;delta_declining;serotonin;5HT6;cortical;62;0,0855;0,508816527;0,727272727;0,936909245;FALSE
t1t2;delta_declining;serotonin;5HTT;cortical;62;-0,3901;0,001720235;0,0999001;0,31968032;FALSE
t1t2;delta_declining;serotonin;5HT1a;subcortical;19;0,414;0,078019494;;0,138701323;FALSE
t1t2;delta_declining;serotonin;5HT1b;subcortical;19;-0,4526;0,051663035;;0,103326071;FALSE
t1t2;delta_declining;serotonin;5HT2a;subcortical;19;-0,114;0,642043574;;0,712547072;FALSE
t1t2;delta_declining;serotonin;5HT4;subcortical;19;-0,6579;0,002200176;;0,021242954;TRUE
t1t2;delta_declining;serotonin;5HT6;subcortical;19;-0,5474;0,015279472;;0,036760728;TRUE
t1t2;delta_declining;serotonin;5HTT;subcortical;19;-0,386;0,102651327;;0,164242124;FALSE
t1t2;delta_declining;glutamate;mGluR5;cortical;62;0,033;0,798933241;0,886113886;0,945054945;FALSE
t1t2;delta_declining;glutamate;NMDA;cortical;62;-0,0705;0,586182303;0,754245754;0,936909245;FALSE
t1t2;delta_declining;glutamate;mGluR5;subcortical;19;-0,3526;0,138662986;;0,184883981;FALSE
t1t2;delta_declining;glutamate;NMDA;subcortical;19;-0,6281;0,003983054;;0,021242954;TRUE
t1t2;baseline_all;dopamine;D1;cortical;62;-0,1524;0,236925562;0,672327672;0,896436896;FALSE
t1t2;baseline_all;dopamine;D2;cortical;62;-0,374;0,0027474;0,497502498;0,851512124;FALSE
t1t2;baseline_all;dopamine;DAT;cortical;62;0,0278;0,830012874;0,94005994;0,948051948;FALSE
t1t2;baseline_all;dopamine;D1;subcortical;19;0,2491;0,303709087;;0,404945449;FALSE
t1t2;baseline_all;dopamine;D2;subcortical;19;0,3842;0,104357748;;0,238531997;FALSE
t1t2;baseline_all;dopamine;DAT;subcortical;19;0,5526;0,014134857;;0,054142368;FALSE
t1t2;baseline_all;ach;VAChT;cortical;62;-0,2548;0,045683161;0,454545455;0,851512124;FALSE
t1t2;baseline_all;ach;M1;cortical;62;-0,2816;0,026627032;0,417582418;0,851512124;FALSE
t1t2;baseline_all;ach;A4B2;cortical;62;-0,5159;1,77E-05;0,211788212;0,851512124;FALSE
t1t2;baseline_all;ach;VAChT;subcortical;19;0,286;0,23528463;;0,342232189;FALSE
t1t2;baseline_all;ach;M1;subcortical;19;-0,1018;0,67850462;;0,67850462;FALSE
t1t2;baseline_all;ach;A4B2;subcortical;19;0,3579;0,132460278;;0,264920555;FALSE
t1t2;baseline_all;gaba;GABAa-bz;cortical;62;-0,0147;0,909522438;0,948051948;0,948051948;FALSE
t1t2;baseline_all;gaba;GABAa;cortical;62;0,0384;0,766972873;0,838161838;0,948051948;FALSE
t1t2;baseline_all;gaba;GABAa-bz;subcortical;19;-0,5404;0,01691949;;0,054142368;FALSE
t1t2;baseline_all;gaba;GABAa;subcortical;19;-0,7105;0,000651267;;0,005210138;TRUE
t1t2;baseline_all;serotonin;5HT1a;cortical;62;-0,3325;0,00828522;0,577422577;0,851512124;FALSE
t1t2;baseline_all;serotonin;5HT1b;cortical;62;-0,3502;0,00527197;0,421578422;0,851512124;FALSE
t1t2;baseline_all;serotonin;5HT2a;cortical;62;-0,2956;0,019687466;0,365634366;0,851512124;FALSE
t1t2;baseline_all;serotonin;5HT4;cortical;62;-0,5753;1,00E-06;0,003996004;0,063936064;FALSE
t1t2;baseline_all;serotonin;5HT6;cortical;62;-0,3192;0,011451649;0,301698302;0,851512124;FALSE
t1t2;baseline_all;serotonin;5HTT;cortical;62;0,1314;0,308581645;0,736263736;0,906170752;FALSE
t1t2;baseline_all;serotonin;5HT1a;subcortical;19;-0,507;0,026719056;;0,071250815;FALSE
t1t2;baseline_all;serotonin;5HT1b;subcortical;19;0,5877;0,008139306;;0,043409631;TRUE
t1t2;baseline_all;serotonin;5HT2a;subcortical;19;-0,3175;0,185246793;;0,329327631;FALSE
