biomarker,correlation_type,neurotransmitter,receptor,region_type,n,rho,pvalue,pvalue_fdr,sig_fdr,ci_lower_95,ci_upper_95
fdg,baseline_all,serotonin,5HTT,cortical,62,-0.3689,0.00317,0.009509,True,-0.5717,-0.1237
fdg,baseline_all,serotonin,5HT1a,subcortical,19,-0.1772,0.46802,0.624027,False,-0.594,0.3146
fdg,baseline_all,serotonin,5HT1b,subcortical,19,-0.0228,0.926161,0.971569,False,-0.4835,0.4477
fdg,baseline_all,serotonin,5HT2a,subcortical,19,0.1035,0.673252,0.807902,False,-0.3806,0.5431
fdg,baseline_all,serotonin,5HT4,subcortical,19,0.3404,0.153919,0.230879,False,-0.1491,0.6958
fdg,baseline_all,serotonin,5HT6,subcortical,19,0.493,0.031982,0.076756,False,0.0353,0.7797
fdg,baseline_all,serotonin,5HTT,subcortical,19,-0.0088,0.971569,0.971569,False,-0.4726,0.4589
fdg,baseline_all,glutamate,mGluR5,cortical,62,-0.0061,0.962661,0.962661,False,-0.2626,0.2513
fdg,baseline_all,glutamate,NMDA,cortical,62,-0.0265,0.837901,0.962661,False,-0.2815,0.232
fdg,baseline_all,glutamate,mGluR5,subcortical,19,0.5175,0.023238,0.046476,True,0.0682,0.7923
fdg,baseline_all,glutamate,NMDA,subcortical,19,0.5544,0.013769,0.046476,True,0.1194,0.8108
fdg,baseline_declining,dopamine,D1,cortical,62,-0.4056,0.001073,0.002147,True,-0.6,-0.166
fdg,baseline_declining,dopamine,D2,cortical,62,-0.6741,0.0,0.0,True,-0.7936,-0.5045
fdg,baseline_declining,dopamine,DAT,cortical,62,-0.5248,1.2e-05,3.6e-05,True,-0.6889,-0.3096
fdg,baseline_declining,dopamine,D1,subcortical,19,0.4789,0.038017,0.045621,True,0.0169,0.7724
fdg,baseline_declining,dopamine,D2,subcortical,19,0.5667,0.011415,0.017122,True,0.137,0.8169
fdg,baseline_declining,dopamine,DAT,subcortical,19,0.2842,0.238296,0.238296,False,-0.2093,0.6623
fdg,baseline_declining,ach,VAChT,cortical,62,-0.0232,0.857996,0.857996,False,-0.2785,0.2351
fdg,baseline_declining,ach,M1,cortical,62,0.2568,0.043897,0.065846,False,-0.0001,0.482
fdg,baseline_declining,ach,A4B2,cortical,62,0.3758,0.002609,0.015657,True,0.1316,0.577
fdg,baseline_declining,ach,VAChT,subcortical,19,0.5632,0.012052,0.036155,True,0.132,0.8151
fdg,baseline_declining,ach,M1,subcortical,19,0.4754,0.039655,0.065846,False,0.0124,0.7706
fdg,baseline_declining,ach,A4B2,subcortical,19,0.3281,0.170297,0.204356,False,-0.1626,0.6886
fdg,baseline_declining,gaba,GABAa-bz,cortical,62,0.2263,0.076939,0.241291,False,-0.0325,0.4567
fdg,baseline_declining,gaba,GABAa,cortical,62,0.026,0.841244,0.886603,False,-0.2325,0.281
fdg,baseline_declining,gaba,GABAa-bz,subcortical,19,0.3684,0.120645,0.241291,False,-0.1175,0.712
fdg,baseline_declining,gaba,GABAa,subcortical,19,0.0351,0.886603,0.886603,False,-0.4379,0.4928
fdg,baseline_declining,serotonin,5HT1a,cortical,62,-0.7336,0.0,0.0,True,-0.8335,-0.5874
fdg,baseline_declining,serotonin,5HT1b,cortical,62,0.611,0.0,1e-06,True,0.4201,0.7502
fdg,baseline_declining,serotonin,5HT2a,cortical,62,0.1864,0.146956,0.251925,False,-0.0741,0.423
fdg,baseline_declining,serotonin,5HT4,cortical,62,-0.5008,3.4e-05,0.000136,True,-0.6713,-0.2799
fdg,baseline_declining,serotonin,5HT6,cortical,62,0.2333,0.068004,0.136008,False,-0.0251,0.4625
fdg,baseline_declining,serotonin,5HTT,cortical,62,-0.325,0.009963,0.029888,True,-0.5371,-0.0742
fdg,baseline_declining,serotonin,5HT1a,subcortical,19,-0.1351,0.581362,0.697634,False,-0.5653,0.3529
fdg,baseline_declining,serotonin,5HT1b,subcortical,19,0.0211,0.931828,0.931828,False,-0.4492,0.4821
fdg,baseline_declining,serotonin,5HT2a,subcortical,19,0.1351,0.581362,0.697634,False,-0.3529,0.5653
fdg,baseline_declining,serotonin,5HT4,subcortical,19,0.2982,0.21489,0.322335,False,-0.1946,0.6708
fdg,baseline_declining,serotonin,5HT6,subcortical,19,0.4667,0.043988,0.10557,False,0.0011,0.766
fdg,baseline_declining,serotonin,5HTT,subcortical,19,0.0333,0.892241,0.931828,False,-0.4393,0.4915
fdg,baseline_declining,glutamate,mGluR5,cortical,62,-0.0272,0.833955,0.945331,False,-0.2821,0.2314
fdg,baseline_declining,glutamate,NMDA,cortical,62,-0.0089,0.945331,0.945331,False,-0.2652,0.2486
fdg,baseline_declining,glutamate,mGluR5,subcortical,19,0.5175,0.023238,0.049862,True,0.0682,0.7923
fdg,baseline_declining,glutamate,NMDA,subcortical,19,0.5123,0.024931,0.049862,True,0.0611,0.7897
t1t2,delta_all,dopamine,D1,cortical,62,-0.3821,0.002177,0.004354,True,-0.5819,-0.1388
t1t2,delta_all,dopamine,D2,cortical,62,-0.5843,1e-06,4e-06,True,-0.7315,-0.3853
t1t2,delta_all,dopamine,DAT,cortical,62,-0.5066,2.7e-05,8e-05,True,-0.6756,-0.287
t1t2,delta_all,dopamine,D1,subcortical,19,-0.5333,0.018697,0.018697,True,-0.8003,-0.0899
t1t2,delta_all,dopamine,D2,subcortical,19,-0.5404,0.016919,0.018697,True,-0.8038,-0.0996
t1t2,delta_all,dopamine,DAT,subcortical,19,-0.5456,0.015677,0.018697,True,-0.8065,-0.107
t1t2,delta_all,ach,VAChT,cortical,62,-0.0636,0.62317,0.62317,False,-0.3154,0.1965
t1t2,delta_all,ach,M1,cortical,62,0.1468,0.254933,0.30592,False,-0.1145,0.389
t1t2,delta_all,ach,A4B2,cortical,62,0.2314,0.07036,0.156537,False,-0.0271,0.4609
t1t2,delta_all,ach,VAChT,subcortical,19,-0.5825,0.008876,0.053255,False,-0.8245,-0.1601
t1t2,delta_all,ach,M1,subcortical,19,-0.3842,0.104358,0.156537,False,-0.721,0.0994
t1t2,delta_all,ach,A4B2,subcortical,19,0.386,0.102651,0.156537,False,-0.0973,0.722
t1t2,delta_all,gaba,GABAa-bz,cortical,62,0.2543,0.046083,0.184332,False,-0.0028,0.4799
t1t2,delta_all,gaba,GABAa,cortical,62,-0.0409,0.752166,0.937498,False,-0.2948,0.2183
t1t2,delta_all,gaba,GABAa-bz,subcortical,19,0.0193,0.937498,0.937498,False,-0.4505,0.4808
t1t2,delta_all,gaba,GABAa,subcortical,19,-0.0193,0.937498,0.937498,False,-0.4808,0.4505
t1t2,delta_all,serotonin,5HT1a,cortical,62,-0.6464,0.0,0.0,True,-0.7747,-0.4671
t1t2,delta_all,serotonin,5HT1b,cortical,62,0.4944,4.4e-05,0.000265,True,0.2721,0.6667
t1t2,delta_all,serotonin,5HT2a,cortical,62,-0.0168,0.896597,0.896597,False,-0.2726,0.2411
t1t2,delta_all,serotonin,5HT4,cortical,62,-0.3739,0.002759,0.011037,True,-0.5755,-0.1294
t1t2,delta_all,serotonin,5HT6,cortical,62,0.1893,0.140504,0.187339,False,-0.071,0.4256
t1t2,delta_all,serotonin,5HTT,cortical,62,-0.3605,0.003995,0.011986,True,-0.5651,-0.1142
t1t2,delta_all,serotonin,5HT1a,subcortical,19,0.3754,0.113198,0.169796,False,-0.1095,0.716
t1t2,delta_all,serotonin,5HT1b,subcortical,19,-0.4386,0.060315,0.103398,False,-0.751,0.0342
t1t2,delta_all,serotonin,5HT2a,subcortical,19,-0.193,0.428613,0.467578,False,-0.6044,0.2998
t1t2,delta_all,serotonin,5HT4,subcortical,19,-0.5982,0.006815,0.016356,True,-0.8322,-0.1836
t1t2,delta_all,serotonin,5HT6,subcortical,19,-0.5123,0.024931,0.049862,True,-0.7897,-0.0611
t1t2,delta_all,serotonin,5HTT,subcortical,19,-0.2754,0.253724,0.304468,False,-0.657,0.2184
t1t2,delta_all,glutamate,mGluR5,cortical,62,0.097,0.453129,0.604172,False,-0.164,0.3453
t1t2,delta_all,glutamate,NMDA,cortical,62,-0.0195,0.880326,0.880326,False,-0.2751,0.2386
t1t2,delta_all,glutamate,mGluR5,subcortical,19,-0.3667,0.122561,0.245121,False,-0.711,0.1195
t1t2,delta_all,glutamate,NMDA,subcortical,19,-0.5193,0.022694,0.090777,False,-0.7932,-0.0706
t1t2,delta_declining,dopamine,D1,cortical,62,-0.3339,0.007989,0.010055,True,-0.5442,-0.0842
t1t2,delta_declining,dopamine,D2,cortical,62,-0.481,7.6e-05,0.000227,True,-0.6568,-0.2557
t1t2,delta_declining,dopamine,DAT,cortical,62,-0.4829,7e-05,0.000227,True,-0.6581,-0.2579
t1t2,delta_declining,dopamine,D1,subcortical,19,-0.5439,0.016083,0.016083,True,-0.8056,-0.1045
t1t2,delta_declining,dopamine,D2,subcortical,19,-0.5947,0.007235,0.010055,True,-0.8305,-0.1783
t1t2,delta_declining,dopamine,DAT,subcortical,19,-0.586,0.008379,0.010055,True,-0.8262,-0.1653
t1t2,delta_declining,ach,VAChT,cortical,62,-0.2434,0.056575,0.169725,False,-0.4709,0.0144
t1t2,delta_declining,ach,M1,cortical,62,0.1295,0.315931,0.454544,False,-0.1319,0.374
t1t2,delta_declining,ach,A4B2,cortical,62,0.0967,0.454544,0.454544,False,-0.1643,0.3451
t1t2,delta_declining,ach,VAChT,subcortical,19,-0.6368,0.003366,0.020196,True,-0.8504,-0.2432
t1t2,delta_declining,ach,M1,subcortical,19,-0.3561,0.134506,0.269011,False,-0.705,0.1315
t1t2,delta_declining,ach,A4B2,subcortical,19,0.214,0.378924,0.454544,False,-0.2796,0.6182
t1t2,delta_declining,gaba,GABAa-bz,cortical,62,0.2156,0.092413,0.369652,False,-0.0438,0.4477
t1t2,delta_declining,gaba,GABAa,cortical,62,0.0122,0.925248,0.925248,False,-0.2455,0.2683
t1t2,delta_declining,gaba,GABAa-bz,subcortical,19,0.0263,0.914838,0.925248,False,-0.4449,0.4862
t1t2,delta_declining,gaba,GABAa,subcortical,19,0.1053,0.668013,0.925248,False,-0.3791,0.5444
t1t2,delta_declining,serotonin,5HT1a,cortical,62,-0.5913,0.0,5e-06,True,-0.7364,-0.3943
t1t2,delta_declining,serotonin,5HT1b,cortical,62,0.4583,0.00018,0.001079,True,0.2282,0.6399
t1t2,delta_declining,serotonin,5HT2a,cortical,62,-0.0351,0.786645,0.786645,False,-0.2894,0.2239
t1t2,delta_declining,serotonin,5HT4,cortical,62,-0.2857,0.024393,0.048787,True,-0.5055,-0.031
t1t2,delta_declining,serotonin,5HT6,cortical,62,0.0855,0.508817,0.61058,False,-0.1753,0.3351
t1t2,delta_declining,serotonin,5HTT,cortical,62,-0.3901,0.00172,0.006601,True,-0.5881,-0.1481
t1t2,delta_declining,serotonin,5HT1a,subcortical,19,0.414,0.078019,0.117029,False,-0.0641,0.7376
t1t2,delta_declining,serotonin,5HT1b,subcortical,19,-0.4526,0.051663,0.088565,False,-0.7585,0.0167
t1t2,delta_declining,serotonin,5HT2a,subcortical,19,-0.114,0.642044,0.700411,False,-0.5506,0.3715
t1t2,delta_declining,serotonin,5HT4,subcortical,19,-0.6579,0.0022,0.006601,True,-0.8601,-0.277
t1t2,delta_declining,serotonin,5HT6,subcortical,19,-0.5474,0.015279,0.036671,True,-0.8073,-0.1095
t1t2,delta_declining,serotonin,5HTT,subcortical,19,-0.386,0.102651,0.136868,False,-0.722,0.0973
t1t2,delta_declining,glutamate,mGluR5,cortical,62,0.033,0.798933,0.798933,False,-0.2258,0.2875
t1t2,delta_declining,glutamate,NMDA,cortical,62,-0.0705,0.586182,0.781576,False,-0.3216,0.1899
t1t2,delta_declining,glutamate,mGluR5,subcortical,19,-0.3526,0.138663,0.277326,False,-0.703,0.1354
t1t2,delta_declining,glutamate,NMDA,subcortical,19,-0.6281,0.003983,0.015932,True,-0.8463,-0.2294
t1t2,baseline_all,dopamine,D1,cortical,62,-0.1524,0.236926,0.355388,False,-0.3939,0.1088
t1t2,baseline_all,dopamine,D2,cortical,62,-0.374,0.002747,0.016484,True,-0.5756,-0.1295
t1t2,baseline_all,dopamine,DAT,cortical,62,0.0278,0.830013,0.830013,False,-0.2308,0.2827
t1t2,baseline_all,dopamine,D1,subcortical,19,0.2491,0.303709,0.364451,False,-0.2451,0.6406
t1t2,baseline_all,dopamine,D2,subcortical,19,0.3842,0.104358,0.208715,False,-0.0994,0.721
t1t2,baseline_all,dopamine,DAT,subcortical,19,0.5526,0.014135,0.042405,True,0.1169,0.8099
t1t2,baseline_all,ach,VAChT,cortical,62,-0.2548,0.045683,0.091366,False,-0.4803,0.0023
t1t2,baseline_all,ach,M1,cortical,62,-0.2816,0.026627,0.079881,False,-0.5022,-0.0265
