label;region;5HT1a;5HT1b;5HT2a;5HT4;5HT6;5HTT;A4B2;D1;D2;DAT;GABAa-bz;GABAa;M1;NMDA;VAChT;mGluR5
1021;ctx-lh-pericalcarine;-0,789838708;2,092535825;0,903103965;-0,451126971;1,018374002;-0,049629423;-0,265507544;-0,164923812;-0,519304471;-0,335982718;1,454277094;1,394125773;0,821344442;0,728340626;-0,360196967;0,2274432
1022;ctx-lh-postcentral;0,103948425;0,270675169;0,387716827;-0,125539564;-0,116718312;-0,332361357;-0,283438751;-0,42912138;-0,408573853;-0,716978109;0,347181401;0,463800497;0,220210629;-0,718235639;-0,340285002;0,261429256
1023;ctx-lh-posteriorcingulate;0,398886439;0,448691564;0,67934737;0,179853785;0,408585965;0,087829728;0,263395376;0,189934254;-0,372190155;-0,191585671;1,108624053;0,557715863;0,396902567;0,761903257;0,09894317;1,063051155
1024;ctx-lh-precentral;0,034032357;0,649431289;0,505720275;-0,106486644;0,197780273;-0,522879538;0,183204997;-0,449128406;-0,438439444;-0,724657104;0,414665929;0,289922609;0,204548273;-0,290849281;-0,232926985;0,269987784
1025;ctx-lh-precuneus;0,142699708;0,439036461;0,807108837;0,224427175;0,845799379;-0,45332045;-0,027532682;0,042982173;-0,366885037;-0,529731526;0,845565021;0,741678792;0,757533046;1,040049989;-0,294560505;0,89193539
1026;ctx-lh-rostralanteriorcingulate;0,758673754;0,516649204;0,834211573;0,310742004;0,688183634;0,196074766;-0,18917301;0,414794453;-0,175797471;0,103335437;1,389302633;0,86337373;0,318961151;0,811468909;-0,077905018;1,015481756
1027;ctx-lh-rostralmiddlefrontal;0,440643456;0,934792514;1,107560401;0,302103309;0,496215506;-0,500312817;0,471753396;-0,190610275;-0,372444658;-0,757067294;0,607060073;0,692598845;0,617586674;-1,038746135;-0,431735585;0,527223453
1028;ctx-lh-superiorfrontal;0,419587559;0,767837957;0,911640482;0,12398267;0,448661297;-0,620355367;0,241087747;-0,228202622;-0,397574177;-0,861785409;0,477031759;0,519297893;0,461298174;-0,238467939;-0,386525776;0,572529309
1029;ctx-lh-superiorparietal;-0,042924111;0,180170292;0,531711533;0,067599139;-0,126278744;-0,747893973;-0,538763974;-0,427023611;-0,422745704;-0,893329834;0,379932754;0,555706758;0,265606074;-0,703935856;-0,482608992;0,241785568
1030;ctx-lh-superiortemporal;0,988443225;-0,058291919;0,754053034;0,458356945;0,4235811;0,012187632;-0,546400141;-0,176605548;-0,108541726;-0,488634898;0,258461538;0,555494616;0,460704007;-0,097030223;-0,292103987;0,518787153
1031;ctx-lh-supramarginal;0,408317994;0,51394668;0,886751663;0,484562566;-0,087154463;-0,487168362;-0,509071969;-0,265839816;-0,33798134;-0,667387505;0,695819384;0,683496189;0,212911676;-0,843372616;-0,404190692;0,592888324
1034;ctx-lh-transversetemporal;0,791414031;0,673475149;1,100334724;0,115846881;0,864996134;0,306525482;-0,055342064;0,221430416;-0,232995564;-0,165181335;1,740142892;1,244311115;0,679015666;1,766596606;0,193577535;1,159794759
1035;ctx-lh-insula;1,667197914;0,564851171;0,777032288;0,270784011;1,147252146;0,729482494;-0,008692083;0,470269201;0,153785395;0,185504732;0,933477377;1,162316569;0,717880873;0,859927043;0,055310293;1,172104893
2002;ctx-rh-caudalanteriorcingulate;0,569236385;0,799738739;0,552171873;0,136237097;0,483364839;0,122657394;0,333095951;0,279931588;-0,264807673;-0,185895615;1,358865811;0,411823412;0,522681542;0,136980092;0,136016294;1,142374309
2003;ctx-rh-caudalmiddlefrontal;0,139943407;0,914549078;0,783720307;-0,042238218;0,275849289;-0,779389318;0,385139731;-0,256976122;-0,458204456;-0,702762629;0,388166313;0,515095163;0,30783713;0,093001971;-0,385863736;0,523379523
2005;ctx-rh-cuneus;-0,150716031;0,860578801;0,785387024;-0,18789299;0,572034364;-0,079069205;-0,516367352;-0,258757085;-0,44439518;-0,602434069;1,160707945;0,983161071;0,650820938;-0,202408118;-0,432955855;0,507083356
2006;ctx-rh-entorhinal;1,875431656;-0,861712591;-0,145319935;0,091746536;-0,809134301;0,650292969;-1,433588291;-0,398812945;-0,277757734;-0,275763175;-1,700789788;0,132000146;-0,147211198;-0,404366727;-0,451816541;-0,224021416
2007;ctx-rh-fusiform;1,0114416;-0,107256978;0,736271567;0,009652472;0,43126345;-0,418399123;-0,165308742;0,082474264;-0,15264065;-0,325663932;0,57069747;0,925090094;0,3406355;0,37016518;-0,407907535;0,395596859
2008;ctx-rh-inferiorparietal;0,190260126;0,632251701;0,859969188;0,454496822;-0,362978647;-0,690702463;-0,683595763;-0,263723423;-0,373774316;-0,682695652;0,48479699;0,599983033;0,527553268;-0,640461003;-0,418946126;0,544211049
2009;ctx-rh-inferiortemporal;1,176970717;-0,136593594;0,875700543;0,404147625;-0,001212159;-0,498596753;-0,814324311;-0,079884708;-0,060826044;-0,482657079;-0,061224674;0,423249854;0,669469662;-0,128050557;-0,478492196;0,319626161
2010;ctx-rh-isthmuscingulate;0,235440666;-0,003177643;0,648811259;-0,01652543;0,017511161;-0,213200797;-0,348854339;0,290365922;-0,488807209;-0,318268712;0,881792212;0,744351849;0,053366881;0,906889904;-0,263428657;0,670645718
2011;ctx-rh-lateraloccipital;-0,302487009;0,421609535;0,569305141;-0,051021708;-0,848350053;-0,574783044;-1,235211668;-0,561240663;-0,509260934;-0,678105365;0,486789143;0,312346531;0,190506044;-1,252460821;-0,531426138;-0,195880899
2012;ctx-rh-lateralorbitofrontal;0,487330467;0,353765268;0,702258783;0,135004319;-0,233912024;-0,202120539;-0,175979891;0,101906948;-0,28868068;-0,318517699;0,219541029;0,558315999;0,423638312;-0,07994411;-0,260009704;0,32694283
