region,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,D1,D2,DAT,GABAa-bz,GABAa,M1,NMDA,VAChT,mGluR5
ctx-rh-inferiortemporal,1.1769707170157062,-0.1365935944156531,0.8757005431027315,0.4041476247803308,-0.0012121588381418,-0.4985967529235643,-0.8143243107201201,-0.0798847084338662,-0.0608260440161039,-0.4826570793706274,-0.0612246743404215,0.4232498537963669,0.6694696621971521,-0.128050556555179,-0.4784921957780964,0.3196261606780404
ctx-rh-isthmuscingulate,0.2354406658947987,-0.0031776430790418,0.6488112588553001,-0.0165254300887064,0.017511161348641,-0.2132007968621606,-0.3488543385118513,0.2903659222116304,-0.4888072085090669,-0.3182687120802684,0.881792211764333,0.7443518494969004,0.0533668811201952,0.9068899037770856,-0.2634286571979303,0.6706457184198018
ctx-rh-lateraloccipital,-0.3024870087085546,0.4216095351343604,0.5693051410394937,-0.0510217083325858,-0.848350052609758,-0.5747830439098671,-1.2352116677781542,-0.5612406627615925,-0.5092609336849686,-0.6781053645636915,0.4867891434888391,0.3123465314372125,0.1905060436646428,-1.2524608213667354,-0.5314261378016933,-0.1958808991038623
ctx-rh-lateralorbitofrontal,0.4873304668244176,0.3537652681720908,0.702258783334228,0.135004319218804,-0.2339120240480559,-0.2021205386709163,-0.1759798910724613,0.1019069479971764,-0.2886806796290954,-0.3185176988724084,0.2195410288280508,0.5583159991948138,0.4236383123140204,-0.0799441097597379,-0.2600097043027364,0.3269428295081708
ctx-rh-lingual,-0.1579605593663107,0.6289674824593768,0.6664106416180762,-0.3190135759525054,0.010183446650691,-0.2247221868895669,-0.5800050694209087,-0.0911665054871054,-0.4696654017411721,-0.424753365458413,1.3262405325499704,0.9456198285841458,-0.0368974090819251,0.2581418482470145,-0.4954989717539296,0.0729196825351473
ctx-rh-medialorbitofrontal,0.891138694118597,0.4350851151833384,0.8418533395826615,0.2864702267480995,-0.0425219671001353,-0.2057064170078767,-0.1723484944725197,0.501627924050166,-0.200312799311093,-0.2293472672071496,0.4432080502685873,0.9578065517496966,0.6678314820289545,0.1946595632752506,-0.19788302373583,0.7779995876354593
ctx-rh-middletemporal,0.8818547598425599,0.2947162101491775,1.0608162141224644,0.6109082266359173,0.4030588747606196,-0.5396281239820306,-0.357810906841813,0.0398442654370807,-0.0760504533135089,-0.4383784186528712,0.4558151758040729,0.6992974933028465,0.7969840696666167,0.3028318802912811,-0.343659154146941,0.7560474890511103
ctx-rh-parahippocampal,1.293802830261449,-0.8977621951549914,-0.0067473654844686,-0.2005587998478122,-0.1517347331465001,-0.1450340781803471,-0.3114249365485865,0.0227772874608598,-0.2633819322448951,-0.1870280235310244,-0.3758352309257917,0.5859895629604552,-0.2645222682611749,-0.2928984249882543,-0.3921074331968724,0.1054534320549533
ctx-rh-paracentral,0.0086574382618427,0.264449359687317,0.0802807909542078,-0.3393013276631069,0.1442982766156146,-0.2582784540592528,0.0733376807993891,-0.3382853198027298,-0.4602455100560508,-0.6431942658959388,0.3688197226747235,0.2790802457339582,0.3310073794942988,0.3801516883913915,-0.0922791667991503,0.4337684888142767
ctx-rh-parsopercularis,0.7409351377909618,1.2237515270433494,1.041687996558905,0.1605580351224703,0.9456828746337972,-0.4544775092494922,0.6245985227749968,0.1266175916942446,-0.2771228223873646,-0.2523154666998354,0.9526329590212326,0.8572070032290935,0.7301393376304589,0.7629032741037347,-0.2019090884240397,1.2079423569961378
