region,hemisphere,label,x,y,z
ctx-rh-precentral,rh,2024,42.51965040226892,-7.305377090930136,41.992128263008624
ctx-rh-precuneus,rh,2025,8.53798767967146,-59.29030659208384,38.553069461162636
ctx-rh-rostralanteriorcingulate,rh,2026,4.437300897770058,34.55806545033303,0.9310744280335967
ctx-rh-rostralmiddlefrontal,rh,2027,38.59408386339777,42.674365466559635,17.788550608287537
ctx-rh-superiorfrontal,rh,2028,12.569828866330724,35.23793178996567,35.657099734657606
ctx-rh-superiorparietal,rh,2029,24.98273197608009,-64.0574480951421,51.51387489081502
ctx-rh-superiortemporal,rh,2030,49.474663820704365,-7.767001067235853,-10.410885805763073
ctx-rh-supramarginal,rh,2031,54.99348374439461,-35.12345852017937,34.0175168161435
ctx-rh-transversetemporal,rh,2034,45.158774373259064,-19.754178272980496,7.883008356545957
ctx-rh-insula,rh,2035,36.68280429321763,2.2734642612468576,-1.1621374743092048
