biomarker,correlation_type,neurotransmitter,receptor,region_type,n,rho,pvalue,pvalue_fdr,sig_fdr,ci_lower_95,ci_upper_95,rho_spin_observed,p_spin,n_spin_regions,n_spin_lh,n_spin_rh,n_spins,spin_error,q_spin_fdr,spin_fdr_significant,spin_significant
fdg,baseline_all,glutamate,mGluR5,cortical,62,-0.0061,0.962661,0.962661,False,-0.2626,0.2513,-0.006068847422628491,0.984015984015984,62,31,31,1000,,0.9878748702278114,False,False
fdg,baseline_all,glutamate,NMDA,cortical,62,-0.0265,0.837901,0.962661,False,-0.2815,0.232,-0.026516582307169297,0.8921078921078921,62,31,31,1000,,0.9796817355872474,False,False
fdg,baseline_declining,dopamine,D1,cortical,62,-0.4056,0.001073,0.002147,True,-0.6,-0.166,-0.4056054997355896,0.061938061938061936,62,31,31,1000,,0.2687482009515908,False,False
fdg,baseline_declining,dopamine,D2,cortical,62,-0.6741,0.0,0.0,True,-0.7936,-0.5045,-0.6740953388229961,0.003996003996003996,62,31,31,1000,,0.06393606393606394,False,True
fdg,baseline_declining,dopamine,DAT,cortical,62,-0.5248,1.2e-05,3.6e-05,True,-0.6889,-0.3096,-0.524816801390043,0.029970029970029972,62,31,31,1000,,0.16678973200712333,False,True
fdg,baseline_declining,ach,VAChT,cortical,62,-0.0232,0.857996,0.857996,False,-0.2785,0.2351,-0.023192566291455767,0.922077922077922,62,31,31,1000,,0.9796817355872474,False,False
fdg,baseline_declining,ach,M1,cortical,62,0.2568,0.043897,0.065846,False,-0.0001,0.482,0.2568306010928962,0.24775224775224775,62,31,31,1000,,0.5983450511752398,False,False
fdg,baseline_declining,ach,A4B2,cortical,62,0.3758,0.002609,0.015657,True,0.1316,0.577,0.37584044723124577,0.22777222777222778,62,31,31,1000,,0.5773236664325774,False,False
fdg,baseline_declining,gaba,GABAa-bz,cortical,62,0.2263,0.076939,0.241291,False,-0.0325,0.4567,0.22631009040316286,0.2777222777222777,62,31,31,1000,,0.6522651660266339,False,False
fdg,baseline_declining,gaba,GABAa,cortical,62,0.026,0.841244,0.886603,False,-0.2325,0.281,0.025962579637883714,0.8951048951048951,62,31,31,1000,,0.9796817355872474,False,False
fdg,baseline_declining,serotonin,5HT1a,cortical,62,-0.7336,0.0,0.0,True,-0.8335,-0.5874,-0.7336254438316839,0.000999000999000999,62,31,31,1000,,0.042624042624042624,True,True
fdg,baseline_declining,serotonin,5HT1b,cortical,62,0.611,0.0,1e-06,True,0.4201,0.7502,0.611039762282491,0.013986013986013986,62,31,31,1000,,0.11934731934731935,False,True
fdg,baseline_declining,serotonin,5HT2a,cortical,62,0.1864,0.146956,0.251925,False,-0.0741,0.423,0.18637153433557452,0.44455544455544455,62,31,31,1000,,0.8289015948590416,False,False
fdg,baseline_declining,serotonin,5HT4,cortical,62,-0.5008,3.4e-05,0.000136,True,-0.6713,-0.2799,-0.5007932310946589,0.013986013986013986,62,31,31,1000,,0.11934731934731935,False,True
fdg,baseline_declining,serotonin,5HT6,cortical,62,0.2333,0.068004,0.136008,False,-0.0251,0.4625,0.23331066958777166,0.3336663336663337,62,31,31,1000,,0.713952713952714,False,False
fdg,baseline_declining,serotonin,5HTT,cortical,62,-0.325,0.009963,0.029888,True,-0.5371,-0.0742,-0.32497292941502354,0.2077922077922078,62,31,31,1000,,0.5541125541125541,False,False
fdg,baseline_declining,glutamate,mGluR5,cortical,62,-0.0272,0.833955,0.945331,False,-0.2821,0.2314,-0.027171312734506813,0.9150849150849151,62,31,31,1000,,0.9796817355872474,False,False
fdg,baseline_declining,glutamate,NMDA,cortical,62,-0.0089,0.945331,0.945331,False,-0.2652,0.2486,-0.008889224648082396,0.9630369630369631,62,31,31,1000,,0.9796817355872474,False,False
t1t2,delta_all,dopamine,D1,cortical,62,-0.3821,0.002177,0.004354,True,-0.5819,-0.1388,-0.3821359321094911,0.13186813186813187,62,31,31,1000,,0.421978021978022,False,False
t1t2,delta_all,dopamine,D2,cortical,62,-0.5843,1e-06,4e-06,True,-0.7315,-0.3853,-0.5843469063987309,0.07092907092907093,62,31,31,1000,,0.2882197167911454,False,False
t1t2,delta_all,dopamine,DAT,cortical,62,-0.5066,2.7e-05,8e-05,True,-0.6756,-0.287,-0.5065850771826447,0.07092907092907093,62,31,31,1000,,0.2882197167911454,False,False
t1t2,delta_all,ach,VAChT,cortical,62,-0.0636,0.62317,0.62317,False,-0.3154,0.1965,-0.06363476114930372,0.8241758241758241,62,31,31,1000,,0.972054494178388,False,False
t1t2,delta_all,ach,M1,cortical,62,0.1468,0.254933,0.30592,False,-0.1145,0.389,0.14678552542116793,0.5994005994005994,62,31,31,1000,,0.905050505050505,False,False
t1t2,delta_all,ach,A4B2,cortical,62,0.2314,0.07036,0.156537,False,-0.0271,0.4609,0.2313968421847851,0.6013986013986014,62,31,31,1000,,0.905050505050505,False,False
t1t2,delta_all,gaba,GABAa-bz,cortical,62,0.2543,0.046083,0.184332,False,-0.0028,0.4799,0.25431240714159803,0.18981018981018982,62,31,31,1000,,0.5224882644237483,False,False
t1t2,delta_all,gaba,GABAa,cortical,62,-0.0409,0.752166,0.937498,False,-0.2948,0.2183,-0.040920651708594595,0.8151848151848152,62,31,31,1000,,0.9718281718281718,False,False
t1t2,delta_all,serotonin,5HT1a,cortical,62,-0.6464,0.0,0.0,True,-0.7747,-0.4671,-0.6464455692377427,0.02197802197802198,62,31,31,1000,,0.1562881562881563,False,True
t1t2,delta_all,serotonin,5HT1b,cortical,62,0.4944,4.4e-05,0.000265,True,0.2721,0.6667,0.4944473823373876,0.07692307692307693,62,31,31,1000,,0.3015491970715852,False,False
t1t2,delta_all,serotonin,5HT2a,cortical,62,-0.0168,0.896597,0.896597,False,-0.2726,0.2411,-0.016846717534184482,0.939060939060939,62,31,31,1000,,0.9796817355872474,False,False
t1t2,delta_all,serotonin,5HT4,cortical,62,-0.3739,0.002759,0.011037,True,-0.5755,-0.1294,-0.37387625594923324,0.08391608391608392,62,31,31,1000,,0.31591937474290416,False,False
t1t2,delta_all,serotonin,5HT6,cortical,62,0.1893,0.140504,0.187339,False,-0.071,0.4256,0.18934300319810632,0.5064935064935064,62,31,31,1000,,0.8644155844155843,False,False
t1t2,delta_all,serotonin,5HTT,cortical,62,-0.3605,0.003995,0.011986,True,-0.5651,-0.1142,-0.36052982800735317,0.23076923076923078,62,31,31,1000,,0.579185520361991,False,False
t1t2,delta_all,glutamate,mGluR5,cortical,62,0.097,0.453129,0.604172,False,-0.164,0.3453,0.09702601294351691,0.7102897102897103,62,31,31,1000,,0.9483849483849484,False,False
t1t2,delta_all,glutamate,NMDA,cortical,62,-0.0195,0.880326,0.880326,False,-0.2751,0.2386,-0.0195160031225605,0.9270729270729271,62,31,31,1000,,0.9796817355872474,False,False
t1t2,delta_declining,dopamine,D1,cortical,62,-0.3339,0.007989,0.010055,True,-0.5442,-0.0842,-0.3339376998816449,0.14685314685314685,62,31,31,1000,,0.44755244755244755,False,False
t1t2,delta_declining,dopamine,D2,cortical,62,-0.481,7.6e-05,0.000227,True,-0.6568,-0.2557,-0.4810002266374557,0.052947052947052944,62,31,31,1000,,0.24204367061509918,False,False
t1t2,delta_declining,dopamine,DAT,cortical,62,-0.4829,7e-05,0.000227,True,-0.6581,-0.2579,-0.4828636901614162,0.026973026973026972,62,31,31,1000,,0.16440702154987868,False,True
t1t2,delta_declining,ach,VAChT,cortical,62,-0.2434,0.056575,0.169725,False,-0.4709,0.0144,-0.24343380927199013,0.33466533466533466,62,31,31,1000,,0.713952713952714,False,False
t1t2,delta_declining,ach,M1,cortical,62,0.1295,0.315931,0.454544,False,-0.1319,0.374,0.12946035103623682,0.5794205794205795,62,31,31,1000,,0.905050505050505,False,False
t1t2,delta_declining,ach,A4B2,cortical,62,0.0967,0.454544,0.454544,False,-0.1643,0.3451,0.09672382966936113,0.7612387612387612,62,31,31,1000,,0.9534543126776136,False,False
t1t2,delta_declining,gaba,GABAa-bz,cortical,62,0.2156,0.092413,0.369652,False,-0.0438,0.4477,0.2155825841706328,0.35864135864135865,62,31,31,1000,,0.7344975024975026,False,False
t1t2,delta_declining,gaba,GABAa,cortical,62,0.0122,0.925248,0.925248,False,-0.2455,0.2683,0.012162876784769962,0.945054945054945,62,31,31,1000,,0.9796817355872474,False,False
t1t2,delta_declining,serotonin,5HT1a,cortical,62,-0.5913,0.0,5e-06,True,-0.7364,-0.3943,-0.5912971217043137,0.007992007992007992,62,31,31,1000,,0.1022977022977023,False,True
t1t2,delta_declining,serotonin,5HT1b,cortical,62,0.4583,0.00018,0.001079,True,0.2282,0.6399,0.4582861171967465,0.05094905094905095,62,31,31,1000,,0.2371446735083099,False,False
t1t2,delta_declining,serotonin,5HT2a,cortical,62,-0.0351,0.786645,0.786645,False,-0.2894,0.2239,-0.03507844174158294,0.8521478521478522,62,31,31,1000,,0.972054494178388,False,False
t1t2,delta_declining,serotonin,5HT4,cortical,62,-0.2857,0.024393,0.048787,True,-0.5055,-0.031,-0.2856891037747728,0.15684315684315683,62,31,31,1000,,0.45401789222013944,False,False
t1t2,delta_declining,serotonin,5HT6,cortical,62,0.0855,0.508817,0.61058,False,-0.1753,0.3351,0.08549268464657149,0.7272727272727273,62,31,31,1000,,0.9497236431909799,False,False
t1t2,delta_declining,serotonin,5HTT,cortical,62,-0.3901,0.00172,0.006601,True,-0.5881,-0.1481,-0.39014378887461915,0.0999000999000999,62,31,31,1000,,0.3444022644022644,False,False
t1t2,delta_declining,glutamate,mGluR5,cortical,62,0.033,0.798933,0.798933,False,-0.2258,0.2875,0.03301352270151847,0.8861138861138861,62,31,31,1000,,0.9796817355872474,False,False
t1t2,delta_declining,glutamate,NMDA,cortical,62,-0.0705,0.586182,0.781576,False,-0.3216,0.1899,-0.07048424869683463,0.7542457542457542,62,31,31,1000,,0.9534543126776136,False,False
t1t2,baseline_all,dopamine,D1,cortical,62,-0.1524,0.236926,0.355388,False,-0.3939,0.1088,-0.15242627987207574,0.6723276723276723,62,31,31,1000,,0.920405797411145,False,False
t1t2,baseline_all,dopamine,D2,cortical,62,-0.374,0.002747,0.016484,True,-0.5756,-0.1295,-0.3740273475863111,0.4975024975024975,62,31,31,1000,,0.8605448605448605,False,False
t1t2,baseline_all,dopamine,DAT,cortical,62,0.0278,0.830013,0.830013,False,-0.2308,0.2827,0.027826043161844324,0.9400599400599401,62,31,31,1000,,0.9796817355872474,False,False
t1t2,baseline_all,ach,VAChT,cortical,62,-0.2548,0.045683,0.091366,False,-0.4803,0.0023,-0.25476568205283173,0.45454545454545453,62,31,31,1000,,0.8289015948590416,False,False
t1t2,baseline_all,ach,M1,cortical,62,-0.2816,0.026627,0.079881,False,-0.5022,-0.0265,-0.2815592656946438,0.4175824175824176,62,31,31,1000,,0.7977693947843202,False,False
t1t2,baseline_all,ach,A4B2,cortical,62,-0.5159,1.8e-05,0.000106,True,-0.6824,-0.2985,-0.5159023948024477,0.21178821178821178,62,31,31,1000,,0.5589462084307445,False,False
t1t2,baseline_all,gaba,GABAa-bz,cortical,62,-0.0147,0.909522,0.909522,False,-0.2706,0.2431,-0.014731434615094055,0.948051948051948,62,31,31,1000,,0.9796817355872474,False,False
t1t2,baseline_all,gaba,GABAa,cortical,62,0.0384,0.766973,0.909522,False,-0.2207,0.2924,0.03840245775729646,0.8381618381618382,62,31,31,1000,,0.972054494178388,False,False
t1t2,baseline_all,serotonin,5HT1a,cortical,62,-0.3325,0.008285,0.019885,True,-0.543,-0.0826,-0.332477147389892,0.5774225774225774,62,31,31,1000,,0.905050505050505,False,False
t1t2,baseline_all,serotonin,5HT1b,cortical,62,-0.3502,0.005272,0.019885,True,-0.557,-0.1024,-0.35015486892800485,0.42157842157842157,62,31,31,1000,,0.7994375994375994,False,False
t1t2,baseline_all,serotonin,5HT2a,cortical,62,-0.2956,0.019687,0.03375,True,-0.5135,-0.0418,-0.2955604240638614,0.36563436563436563,62,31,31,1000,,0.7370267527747842,False,False
t1t2,baseline_all,serotonin,5HT4,cortical,62,-0.5753,1e-06,1.2e-05,True,-0.7251,-0.3736,-0.5753317720530836,0.003996003996003996,62,31,31,1000,,0.06393606393606394,False,True
t1t2,baseline_all,serotonin,5HT6,cortical,62,-0.3192,0.011452,0.022903,True,-0.5324,-0.0678,-0.3191810833270379,0.3016983016983017,62,31,31,1000,,0.6895961181675467,False,False
t1t2,baseline_all,serotonin,5HTT,cortical,62,0.1314,0.308582,0.336635,False,-0.1299,0.3757,0.13142454231824935,0.7362637362637363,62,31,31,1000,,0.9497236431909799,False,False
t1t2,baseline_all,glutamate,mGluR5,cortical,62,-0.5511,3e-06,1.4e-05,True,-0.7078,-0.3426,-0.5510563823625696,0.016983016983016984,62,31,31,1000,,0.1242186385043528,False,True
t1t2,baseline_all,glutamate,NMDA,cortical,62,0.1079,0.403835,0.647207,False,-0.1533,0.355,0.10790461081312483,0.5854145854145855,62,31,31,1000,,0.905050505050505,False,False
t1t2,baseline_declining,dopamine,D1,cortical,62,-0.2606,0.040779,0.081559,False,-0.4851,-0.0039,-0.26060789201984336,0.44455544455544455,62,31,31,1000,,0.8289015948590416,False,False
t1t2,baseline_declining,dopamine,D2,cortical,62,-0.5875,1e-06,3e-06,True,-0.7337,-0.3894,-0.5875198307773665,0.15284715284715283,62,31,31,1000,,0.44975713941231177,False,False
t1t2,baseline_declining,dopamine,DAT,cortical,62,-0.2048,0.110312,0.140255,False,-0.4387,0.055,-0.20480471405907685,0.6333666333666333,62,31,31,1000,,0.905050505050505,False,False
t1t2,baseline_declining,ach,VAChT,cortical,62,-0.2611,0.040378,0.121134,False,-0.4855,-0.0045,-0.261111530810103,0.4805194805194805,62,31,31,1000,,0.8536566881394467,False,False
t1t2,baseline_declining,ach,M1,cortical,62,-0.2204,0.085162,0.141631,False,-0.4518,0.0387,-0.22041751655712524,0.5904095904095904,62,31,31,1000,,0.905050505050505,False,False
t1t2,baseline_declining,ach,A4B2,cortical,62,-0.3215,0.010821,0.064928,False,-0.5343,-0.0704,-0.3215481856412581,0.6113886113886113,62,31,31,1000,,0.905050505050505,False,False
t1t2,baseline_declining,gaba,GABAa-bz,cortical,62,0.1344,0.297675,0.3969,False,-0.1269,0.3783,0.13439601118078118,0.5524475524475524,62,31,31,1000,,0.9023429400787891,False,False
t1t2,baseline_declining,gaba,GABAa,cortical,62,0.0529,0.68298,0.68298,False,-0.2068,0.3057,0.05290725491677369,0.8031968031968032,62,31,31,1000,,0.9698980265018001,False,False
t1t2,baseline_declining,serotonin,5HT1a,cortical,62,-0.598,0.0,2e-06,True,-0.7411,-0.403,-0.5979955176147668,0.1838161838161838,62,31,31,1000,,0.5114885114885115,False,False
